base_date,emd_cd,f60_resd_pop,f60_work_pop,f60_visit_pop
2018-01-31,2018-01-31,50110250,805933.6072999997,32158.305100000012,230486.95169999974
2018-02-28,2018-02-28,50110250,724310.9701000002,21141.707200000004,188638.5787000003
2018-03-31,2018-03-31,50110250,801135.8176000002,30261.966099999987,280807.11269999977
2018-04-30,2018-04-30,50110250,762895.4757,13240.862899999993,342648.50919999974
2018-05-31,2018-05-31,50110250,801896.2265999989,21338.831300000045,321431.82670000027
2018-06-30,2018-06-30,50110250,815482.9334000002,21829.90490000005,303345.5838999996
2018-07-31,2018-07-31,50110250,833372.9211999993,27058.691000000006,297951.40209999995
2018-08-31,2018-08-31,50110250,879156.0094,34308.993199999975,319639.83110000036
2018-09-30,2018-09-30,50110250,852336.7172999998,26358.024299999986,275544.1942000003
2018-10-31,2018-10-31,50110250,876627.3360000002,22840.795299999976,334399.33749999985
2018-11-30,2018-11-30,50110250,871028.9030000006,19443.881500000018,301798.75659999996
2018-12-31,2018-12-31,50110250,905319.6498999986,33054.24239999995,249465.51130000025
2019-01-31,2019-01-31,50110250,941492.9441999996,24291.470900000062,262471.5772999999
2019-02-28,2019-02-28,50110250,840088.1430000014,31956.0618,252078.1486999998
2019-03-31,2019-03-31,50110250,948596.8112,22804.706499999942,312107.4291000005
2019-04-30,2019-04-30,50110250,914177.0856999999,28044.821099999986,359462.85640000005
2019-05-31,2019-05-31,50110250,923541.4936999998,20899.392400000015,338410.5473999997
2019-06-30,2019-06-30,50110250,901579.1869999999,25188.603800000015,337317.7113
2019-07-31,2019-07-31,50110250,953818.0057000009,26533.05409999994,298121.29060000076
2019-08-31,2019-08-31,50110250,963191.9910999999,33421.68369999996,334775.56469999993
2019-09-30,2019-09-30,50110250,929457.3920999997,33603.664300000026,283550.3430000004
2019-10-31,2019-10-31,50110250,947226.7489999998,37013.14830000003,354392.8690000001
2019-11-30,2019-11-30,50110250,939115.5914000004,32760.371499999957,310309.4107999998
2019-12-31,2019-12-31,50110250,978926.8550000007,40007.80519999997,255915.53630000007
2020-01-31,2020-01-31,50110250,991703.9810000006,31261.795999999937,278961.0588
2020-02-29,2020-02-29,50110250,959156.0865000002,33367.478000000025,201226.12490000002
2020-03-31,2020-03-31,50110250,1050746.7591999993,31105.90209999999,266296.28779999993
2020-04-30,2020-04-30,50110250,1034142.8569999998,34334.98090000002,246617.10490000012
2020-05-31,2020-05-31,50110250,1040220.1687000004,42985.27079999994,300085.1698
2020-06-30,2020-06-30,50110250,1017831.6189000008,46923.576600000015,333706.17849999975
2020-07-31,2020-07-31,50110250,1061326.6312000006,37337.380699999914,320202.0180999998
2020-08-31,2020-08-31,50110250,1070263.4010000003,63110.967699999965,319904.4085999995
2020-09-30,2020-09-30,50110250,1048676.8246000002,48152.30520000003,279564.2195000002
2020-10-31,2020-10-31,50110250,1086018.2597999997,33592.25490000005,386078.64929999976
2020-11-30,2020-11-30,50110250,1064360.7384999993,41591.26100000003,378299.9368999994
2020-12-31,2020-12-31,50110250,1132449.5542000006,44730.00249999997,289629.63419999956
2021-01-31,2021-01-31,50110250,1170824.0329000026,41099.94980000001,257036.62590000013
2021-02-28,2021-02-28,50110250,1023657.6262000004,37251.92380000005,265422.175
2021-03-31,2021-03-31,50110250,1112739.7183000012,46673.40989999994,346610.91400000016
2021-04-30,2021-04-30,50110250,1086839.1350999996,39245.32889999995,497932.12470000004
2021-05-31,2021-05-31,50110250,1140935.3390999995,31507.804400000008,434797.2516999995
2021-06-30,2021-06-30,50110250,1109307.3075000008,43608.88169999994,374653.10980000044
2018-01-31,2018-01-31,50110253,1221990.5063999994,64463.099099999934,539978.2583000008
2018-02-28,2018-02-28,50110253,1090886.8959,48458.32860000003,442414.49959999986
2018-03-31,2018-03-31,50110253,1149595.3687000005,54808.02489999995,717976.2273999994
2018-04-30,2018-04-30,50110253,1100863.597599999,67448.8728,838468.8455000006
2018-05-31,2018-05-31,50110253,1124994.8885999997,76625.67309999994,720807.2830000002
2018-06-30,2018-06-30,50110253,1087157.8399000005,86115.82040000004,683811.8620999992
2018-07-31,2018-07-31,50110253,1109249.8307999996,85864.55240000002,656885.5663000004
2018-08-31,2018-08-31,50110253,1161924.743300001,92797.95910000008,676821.2890999996
2018-09-30,2018-09-30,50110253,1112142.8965999999,78729.5687000001,607990.4653000013
2018-10-31,2018-10-31,50110253,1113289.4752000005,76976.33689999985,725005.3497999985
2018-11-30,2018-11-30,50110253,1070878.2679999995,74856.24730000005,673871.3190000015
2018-12-31,2018-12-31,50110253,1123461.0926000003,68073.43460000008,580361.2782999995
2019-01-31,2019-01-31,50110253,1184537.3278999983,75997.90199999986,586199.4442999996
2019-02-28,2019-02-28,50110253,1069506.8021000014,54721.58910000005,540948.3209000004
2019-03-31,2019-03-31,50110253,1181540.697,58404.073099999914,773554.9019999999
2019-04-30,2019-04-30,50110253,1145395.9539999985,92883.67809999983,796239.4779000012
