base_date,emd_cd,f40_resd_pop,f40_work_pop,f40_visit_pop
2018-01-31,2018-01-31,50110250,1096675.4583000015,75000.03999999992,434519.3641000002
2018-02-28,2018-02-28,50110250,980518.4404000002,64073.51919999998,354942.4616999996
2018-03-31,2018-03-31,50110250,1068543.0120000006,80174.40480000012,401045.8506999997
2018-04-30,2018-04-30,50110250,1041102.2500000006,87042.81979999988,458676.4230000003
2018-05-31,2018-05-31,50110250,1075599.8108999997,96005.02920000021,513710.64999999956
2018-06-30,2018-06-30,50110250,1077604.2929000014,83619.87300000007,487625.53590000054
2018-07-31,2018-07-31,50110250,1088299.7402999995,98166.46159999973,562056.2109999998
2018-08-31,2018-08-31,50110250,1083262.496800001,88592.79860000014,704065.4917999994
2018-09-30,2018-09-30,50110250,1074425.2208000014,56879.2470999999,469339.2009999992
2018-10-31,2018-10-31,50110250,1114154.6104000006,82442.8046,429586.2519999995
2018-11-30,2018-11-30,50110250,1042530.0857000015,90951.28659999995,412026.24560000026
2018-12-31,2018-12-31,50110250,1086253.7113999994,81302.15619999998,382144.68480000045
2019-01-31,2019-01-31,50110250,1075030.0033999989,71188.26229999991,449562.6686999997
2019-02-28,2019-02-28,50110250,969054.2677000002,74511.46949999993,421320.2777000006
2019-03-31,2019-03-31,50110250,1092619.781299999,78799.94330000003,434401.3419000002
2019-04-30,2019-04-30,50110250,1084928.5265000009,85996.22269999984,424501.51060000045
2019-05-31,2019-05-31,50110250,1134245.8920999994,89820.71629999988,493724.7511000007
2019-06-30,2019-06-30,50110250,1094493.7235000003,100825.45899999994,493315.38199999963
2019-07-31,2019-07-31,50110250,1117073.1451000015,107388.6421999999,611664.3063999993
2019-08-31,2019-08-31,50110250,1123993.8437000006,95898.13350000017,709558.1501000001
2019-09-30,2019-09-30,50110250,1089808.5080999997,92938.20700000008,454323.5841999992
2019-10-31,2019-10-31,50110250,1157167.4112000004,100569.27150000006,469976.4025000007
2019-11-30,2019-11-30,50110250,1121700.2702,84517.34449999996,426928.53290000104
2019-12-31,2019-12-31,50110250,1149669.0801000001,91948.9902,398343.98159999977
2020-01-31,2020-01-31,50110250,1151932.721100001,80847.90210000014,470198.8532
2020-02-29,2020-02-29,50110250,1113200.3609000007,88332.94960000005,336009.7637999994
