base_date,emd_cd,use_cnt_home,use_amt_home,use_cnt_out,use_amt_out
0,2018-01-31,50110250,241.0,9544214.832258064,190.0921052631579,6770950.8355263155
1,2018-02-28,50110250,248.57142857142858,10986168.142857144,178.6043165467626,6207769.647482014
2,2018-03-31,50110250,253.71052631578948,10104315.907894736,202.2312925170068,6876453.897959184
3,2018-04-30,50110250,268.58,9984319.506666666,210.82432432432432,7277611.033783784
4,2018-05-31,50110250,287.8766233766234,11574652.662337663,213.30128205128204,7222843.147435897
5,2018-06-30,50110250,288.4026845637584,11144652.852348993,221.87074829931973,7558056.142857143
6,2018-07-31,50110250,289.3290322580645,11004854.638709677,224.93589743589743,7487966.929487179
7,2018-08-31,50110250,298.27096774193546,11402453.329032257,228.09937888198758,7778375.689440994
8,2018-09-30,50110250,286.3557046979866,12229941.751677852,207.8774193548387,6987266.167741936
9,2018-10-31,50110250,260.7225806451613,10301813.670967743,212.32298136645963,6988416.0124223605
10,2018-11-30,50110250,258.2751677852349,9894869.463087248,220.1437908496732,7636305.660130719
11,2018-12-31,50110250,263.1161290322581,10167820.64516129,201.4561403508772,7100253.076023391
12,2019-01-31,50110250,258.69032258064516,10732070.193548387,212.19620253164558,7221598.734177215
13,2019-02-28,50110250,267.67857142857144,10821101.478571428,206.65034965034965,6976768.293706294
14,2019-03-31,50110250,266.86451612903227,10629208.283870967,231.59375,7762366.4125
15,2019-04-30,50110250,285.5436241610738,10980370.724832214,239.88815789473685,7697755.6644736845
16,2019-05-31,50110250,290.0,10905182.780645162,244.14743589743588,8047346.108974359
17,2019-06-30,50110250,298.20666666666665,10993491.113333333,235.4640522875817,7749865.274509804
18,2019-07-31,50110250,302.46451612903223,11682578.903225806,236.32515337423314,7489664.6625766875
19,2019-08-31,50110250,312.7741935483871,12348031.993548388,255.28930817610063,8058969.6918239
20,2019-09-30,50110250,303.7733333333333,12076304.393333333,227.6158940397351,7334626.218543046
21,2019-10-31,50110250,305.8516129032258,11652914.129032258,245.77914110429447,7661025.699386503
22,2019-11-30,50110250,301.62,11769527.186666667,235.28125,7540086.9
23,2019-12-31,50110250,295.56774193548387,11756193.522580646,239.4723926380368,7592076.644171779
24,2020-01-31,50110250,290.38709677419354,12010563.62580645,226.04347826086956,7374075.236024844
25,2020-02-29,50110250,275.4689655172414,10234904.268965518,224.2972972972973,7316381.135135135
26,2020-03-31,50110250,290.8709677419355,10661159.838709677,232.69480519480518,7287016.493506493
27,2020-04-30,50110250,302.34,10984104.026666667,253.83448275862068,8055460.489655172
28,2020-05-31,50110250,326.21290322580643,12799861.696774194,288.0632911392405,9264584.829113925
29,2020-06-30,50110250,312.11333333333334,12613850.493333334,270.0733333333333,8516291.093333334
30,2020-07-31,50110250,320.4129032258065,12022114.95483871,261.4193548387097,8406305.245161291
31,2020-08-31,50110250,345.71612903225804,14509436.470967742,273.3806451612903,9238841.051612902
32,2020-09-30,50110250,347.5733333333333,14457709.76,266.6575342465753,8443033.993150685
33,2020-10-31,50110250,298.0838709677419,12312907.406451613,254.80519480519482,8458676.824675325
34,2020-11-30,50110250,288.74,11278708.9,254.46308724832215,8427425.583892617
35,2020-12-31,50110250,307.49032258064517,12202599.438709678,222.46478873239437,6942500.718309859
36,2021-01-31,50110250,308.541935483871,12321741.832258064,225.25,6902531.135714286
37,2021-02-28,50110250,301.57142857142856,12568695.457142858,222.09022556390977,7041053.090225564
38,2021-03-31,50110250,295.9032258064516,12417402.916129032,251.4041095890411,8043987.691780822
39,2021-04-30,50110250,305.3466666666667,12513554.453333333,248.18493150684932,7730879.849315069
40,2021-05-31,50110250,322.3225806451613,13087974.019354839,259.14473684210526,8525567.914473685
41,2021-06-30,50110250,332.58666666666664,13028691.913333334,245.70921985815602,8060671.1560283685
42,2018-01-31,50110253,497.4220779220779,18802787.045454547,378.3809523809524,11530653.345238095
43,2018-02-28,50110253,479.9214285714286,19672949.2,354.8,11021544.753333334
44,2018-03-31,50110253,522.1935483870968,18705374.967741936,400.0887573964497,11858222.414201183
45,2018-04-30,50110253,554.0733333333334,20430065.586666666,409.0479041916168,11893708.11976048
46,2018-05-31,50110253,566.0193548387097,20651071.167741936,424.37931034482756,13191152.362068966
47,2018-06-30,50110253,575.9533333333334,20420921.266666666,418.271676300578,12539732.549132949
48,2018-07-31,50110253,602.9935483870968,21643235.587096773,445.53216374269005,13634990.50877193
49,2018-08-31,50110253,616.474025974026,22575777.285714287,464.97076023391816,14102214.748538012
50,2018-09-30,50110253,575.3066666666666,22580949.96,441.96894409937886,13228254.05590062
51,2018-10-31,50110253,555.9032258064516,20317644.406451613,453.46060606060604,12919457.496969696
