base_date,emd_cd,f20_resd_pop,f20_work_pop,f20_visit_pop
2018-01-31,2018-01-31,50110250,426198.2518000003,35429.82959999999,426261.4845
2018-02-28,2018-02-28,50110250,409598.9307999999,27199.373300000007,364620.1100999995
2018-03-31,2018-03-31,50110250,404489.86309999984,36826.192400000014,371750.0461000001
2018-04-30,2018-04-30,50110250,371071.7988999999,40108.046399999985,362369.7031999992
2018-05-31,2018-05-31,50110250,364683.6110999999,42162.08750000003,371449.3706999995
2018-06-30,2018-06-30,50110250,364524.4073000003,43834.51560000004,554724.9613000005
2018-07-31,2018-07-31,50110250,397728.14220000006,44321.12449999999,611292.7587999996
2018-08-31,2018-08-31,50110250,406351.32179999945,45627.25510000007,603878.5091999997
2018-09-30,2018-09-30,50110250,387944.60510000004,43518.327000000056,441141.4681999995
2018-10-31,2018-10-31,50110250,392904.23919999984,42863.05190000002,355993.0349000005
2018-11-30,2018-11-30,50110250,371253.95799999963,40373.74730000001,317351.42940000014
2018-12-31,2018-12-31,50110250,366206.17340000026,43186.80540000004,364163.54499999975
2019-01-31,2019-01-31,50110250,380795.4130000003,51745.43459999993,445397.0001
2019-02-28,2019-02-28,50110250,378873.11919999967,35151.55719999998,422097.96349999984
2019-03-31,2019-03-31,50110250,381325.2976000007,38043.76839999998,407185.76310000004
2019-04-30,2019-04-30,50110250,354618.68309999985,41807.29860000005,375878.68590000004
2019-05-31,2019-05-31,50110250,358673.3934000002,53197.717600000105,416367.0702000005
2019-06-30,2019-06-30,50110250,355560.3191,42007.27449999994,476039.3942999997
2019-07-31,2019-07-31,50110250,369878.41859999986,46219.04070000005,589609.9183999998
2019-08-31,2019-08-31,50110250,400371.77760000026,43774.32269999991,626872.6913999997
2019-09-30,2019-09-30,50110250,348435.8629999998,35922.233399999954,428033.55030000024
2019-10-31,2019-10-31,50110250,341159.9457000002,39376.16649999997,414518.2572000001
2019-11-30,2019-11-30,50110250,320859.0111,35541.88940000003,393491.05960000044
2019-12-31,2019-12-31,50110250,332910.6582999999,31108.441100000015,461008.34769999987
2020-01-31,2020-01-31,50110250,331482.3683000002,38458.04890000005,499453.1901999995
2020-02-29,2020-02-29,50110250,327308.5271000004,27226.7952,296852.1623999999
2020-03-31,2020-03-31,50110250,349132.26530000014,24328.959499999994,316493.6586999999
2020-04-30,2020-04-30,50110250,359238.7014999996,28911.954000000045,279878.9399
2020-05-31,2020-05-31,50110250,346231.13189999963,33938.654799999946,364841.6426000004
2020-06-30,2020-06-30,50110250,312987.4162,35772.334899999936,429750.00389999966
2020-07-31,2020-07-31,50110250,302548.67600000027,37621.599300000016,604808.1672999993
2020-08-31,2020-08-31,50110250,322208.4132999997,31537.18160000006,615006.4654999995
2020-09-30,2020-09-30,50110250,306083.0153999999,41938.9982,420311.7483999995
2020-10-31,2020-10-31,50110250,316597.0471,39969.231199999966,546294.5389000007
2020-11-30,2020-11-30,50110250,404959.24650000024,54741.33239999999,594720.1314000002
2020-12-31,2020-12-31,50110250,426241.7489000004,54746.85660000001,421529.0378000008
2021-01-31,2021-01-31,50110250,447797.2555999998,55857.2439,357628.42280000064
