base_date,emd_cd,f80_resd_pop,f80_work_pop,f80_visit_pop
2018-01-31,2018-01-31,50110250,361810.87580000004,9886.229899999998,93507.50570000024
2018-02-28,2018-02-28,50110250,341049.5642000002,6312.578600000002,80591.91070000001
2018-03-31,2018-03-31,50110250,353975.9759000002,13869.572599999992,123582.64800000006
2018-04-30,2018-04-30,50110250,361380.6905999999,13743.781499999985,147384.6297
2018-05-31,2018-05-31,50110250,379685.8800000002,17886.814599999987,124119.83090000023
2018-06-30,2018-06-30,50110250,354206.8251999998,12918.899900000004,106252.92500000013
2018-07-31,2018-07-31,50110250,356584.6362,22942.764400000004,105758.19640000004
2018-08-31,2018-08-31,50110250,357941.71659999987,20013.038399999972,95748.74789999996
2018-09-30,2018-09-30,50110250,329261.74689999997,10522.205200000013,109398.57149999998
2018-10-31,2018-10-31,50110250,342611.66610000026,11976.788000000008,115150.7561
2018-11-30,2018-11-30,50110250,357406.75360000005,10681.416099999995,90928.90599999989
2018-12-31,2018-12-31,50110250,359413.7510000002,17464.956899999965,73053.51309999991
2019-01-31,2019-01-31,50110250,360080.66070000007,11400.992699999983,85611.25740000012
2019-02-28,2019-02-28,50110250,317521.8638999997,20984.1582,96869.32489999996
2019-03-31,2019-03-31,50110250,366804.34800000023,14075.584099999998,97377.6710000001
2019-04-30,2019-04-30,50110250,350376.8150999997,6128.432099999993,123449.68500000007
2019-05-31,2019-05-31,50110250,355730.60409999976,12135.632900000015,120932.30939999962
2019-06-30,2019-06-30,50110250,359942.5499000005,9784.844600000008,117187.67070000008
2019-07-31,2019-07-31,50110250,393097.02559999994,10192.979600000002,92795.90609999988
2019-08-31,2019-08-31,50110250,387617.9298999998,17419.922099999992,102621.20129999997
2019-09-30,2019-09-30,50110250,379716.10979999974,13030.462999999992,103587.59299999989
2019-10-31,2019-10-31,50110250,404623.45519999997,6556.273300000015,121454.11299999981
2019-11-30,2019-11-30,50110250,193372.71510000003,5162.1686999999965,56456.72150000005
2019-12-31,2019-12-31,50110250,196960.49339999995,6707.590200000006,60573.45540000003
2020-01-31,2020-01-31,50110250,208394.62629999992,4459.305399999999,46436.40049999992
2020-02-29,2020-02-29,50110250,199042.96330000012,5731.553999999998,38977.43000000003
2020-03-31,2020-03-31,50110250,238378.4907999999,5458.095600000009,38924.477700000076
2020-04-30,2020-04-30,50110250,229616.2233999999,5577.225900000001,40903.028100000105
2020-05-31,2020-05-31,50110250,224092.11179999987,6754.826799999994,51354.05469999999
2020-06-30,2020-06-30,50110250,229850.60049999977,7331.426099999997,49002.86259999991
2020-07-31,2020-07-31,50110250,239354.45240000013,8327.508399999993,50905.65480000001
2020-08-31,2020-08-31,50110250,248668.08989999985,11098.515799999997,53545.97350000001
2020-09-30,2020-09-30,50110250,238460.87929999997,5994.319900000002,46071.30510000002
2020-10-31,2020-10-31,50110250,236788.06800000017,9747.97590000002,60158.91850000013
2020-11-30,2020-11-30,50110250,237891.37570000003,5615.472000000002,61820.89860000003
2020-12-31,2020-12-31,50110250,257816.8726,13583.211299999999,44803.418099999995
2021-01-31,2021-01-31,50110250,256098.99410000007,10218.762799999982,40260.5593
2021-02-28,2021-02-28,50110250,233404.1761,6169.498600000001,44484.758500000025
2021-03-31,2021-03-31,50110250,253872.11809999993,9433.015200000002,58687.61709999995
2021-04-30,2021-04-30,50110250,242536.9069,12631.544900000012,60341.47430000003
2021-05-31,2021-05-31,50110250,250746.77150000012,5864.239600000003,62119.73149999999
2021-06-30,2021-06-30,50110250,244482.76659999997,7233.521499999996,59155.45139999995
2018-01-31,2018-01-31,50110253,617699.9274999999,30040.6172,180456.10229999988
2018-02-28,2018-02-28,50110253,561367.7783999994,19100.069599999977,156863.98909999998
2018-03-31,2018-03-31,50110253,622195.5217,23276.085999999992,244151.9243999996
2018-04-30,2018-04-30,50110253,583390.8163000005,28558.859799999977,272613.7035999998
2018-05-31,2018-05-31,50110253,604603.4553999995,35886.372600000024,247553.56159999993
2018-06-30,2018-06-30,50110253,590878.4419000001,24587.125099999997,220616.14840000015
2018-07-31,2018-07-31,50110253,575148.4661999991,21066.856500000005,247615.2192
2018-08-31,2018-08-31,50110253,634237.4382999999,31119.85759999997,230763.0842000002
2018-09-30,2018-09-30,50110253,576781.4410999995,28367.877000000004,212456.49209999954
2018-10-31,2018-10-31,50110253,572698.2939000006,25558.84290000001,257115.85390000022
2018-11-30,2018-11-30,50110253,586131.0725000001,22055.41270000001,249827.62429999988
2018-12-31,2018-12-31,50110253,628696.5164000004,31625.7953,201567.27040000018
2019-01-31,2019-01-31,50110253,625968.2302999998,30513.537700000034,203379.90889999986
2019-02-28,2019-02-28,50110253,547677.0296000004,34929.90500000002,181607.31309999994
2019-03-31,2019-03-31,50110253,627637.5281000001,28805.159699999993,228425.8414
2019-04-30,2019-04-30,50110253,603067.7061000003,19333.3022,252092.2988999996
2019-05-31,2019-05-31,50110253,615488.7203,24182.377699999997,266005.3041999999
